customer_id,source_customer_id,customer_first_name,customer_last_name,customer_full_name,customer_email,customer_segment,customer_city,customer_state,customer_country,customer_street,customer_zipcode,latitude,longitude,primary_market,primary_region,total_orders,total_order_items,total_sales,total_profit,late_delivery_count,late_delivery_rate,avg_days_scheduled,avg_days_actual,avg_shipping_delay,top_category,top_product,first_order_date,last_order_date,support_ticket_count,open_support_ticket_count,critical_support_ticket_count,avg_ticket_satisfaction,review_count,last_review_decision,lifecycle_stage,churn_risk_reason,next_best_action,last_meaningful_touch_date,data_quality_flags,risk_score,risk_band,health_score,globe_x,globe_y,globe_z
C000017,4663,Paul,Smith,Paul Smith,XXXXXXXXX,Corporate,Columbus,GA,EE. UU.,6422 Sleepy Swale,31907,32.52082825,-84.88657379,Europe,Western Europe,12,40,8279.89,881.04,32,0.8,2.58,4.12,1.55,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,2015-08-06,2017-07-13,1,0,0,,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-07-13,none,64,High,36,0.13627,0.983992,0.114849
C000018,3708,Judy,Miller,Judy Miller,XXXXXXXXX,Consumer,Westerville,OH,EE. UU.,7774 Broad Crossing,43081,40.11835098,-82.92810822,Europe,Western Europe,12,44,8275.09,1652.74,34,0.7727,2.73,3.68,0.95,Water Sports,Pelican Sunstream 100 Kayak,2015-03-01,2017-09-02,1,0,0,,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-09-02,none,59,High,41,-0.183494,0.982991,0.007588
C000019,12284,Mary,Smith,Mary Smith,XXXXXXXXX,Consumer,New Haven,CT,EE. UU.,1185 Rustic River Thicket,6511,41.46828079,-73.02367401,LATAM,Central America,14,43,8258.62,1462.46,21,0.4884,2.91,3.88,0.98,Cleats,Perfect Fitness Perfect Rip Deck,2015-02-10,2017-06-24,1,0,1,,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-06-24,none,39,Medium,61,0.133918,0.981991,-0.133266
C000020,7200,Katherine,Smith,Katherine Smith,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,3899 Blue Nook,725,18.22846603,-66.37055969,LATAM,Central America,11,35,8229.01,1409.63,11,0.3143,2.71,2.97,0.26,Cleats,Perfect Fitness Perfect Rip Deck,2015-02-09,2017-06-20,1,0,0,5.0,0,,Active,normal activity,Relationship check-in,2017-06-20,none,23,Low,77,-0.008964,0.98099,0.193849
C000021,5927,Christopher,Cooper,Christopher Cooper,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,1112 Sunny Pond Wood,725,18.20561028,-66.37050629,USCA,Western Europe,8,35,8169.13,383.6,12,0.3429,3.71,4.17,0.46,Cleats,Perfect Fitness Perfect Rip Deck,2015-05-31,2017-09-23,1,0,0,,0,,Active,normal activity,Relationship check-in,2017-09-23,none,26,Low,74,-0.127531,0.97999,-0.152825
C000022,5004,Dorothy,Friedman,Dorothy Friedman,XXXXXXXXX,Home Office,Miami,FL,EE. UU.,6461 Silver Heath,33157,25.58456993,-80.37361145,LATAM,South America,13,45,8164.7,1917.99,17,0.3778,2.6,2.42,-0.18,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,2015-06-13,2017-08-12,1,0,0,,0,,Active,normal activity,Relationship check-in,2017-08-12,none,26,Low,74,0.20209,0.978989,0.027191
C000023,1443,Denise,Cohen,Denise Cohen,XXXXXXXXX,Consumer,West Orange,NJ,EE. UU.,8361 Misty Subdivision,7052,40.77758408,-74.2411499,Europe,West of USA ,13,43,8150.13,1383.8,28,0.6512,2.79,3.44,0.65,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2015-03-18,2017-09-17,1,0,1,,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-09-17,none,49,Medium,51,-0.171277,0.977989,0.11917
C000024,6316,Kyle,Smith,Kyle Smith,XXXXXXXXX,Home Office,Caguas,PR,Puerto Rico,7107 Blue Rise Place,725,18.2232132,-66.3705368,LATAM,South America,12,39,8105.18,816.9,18,0.4615,3.03,3.85,0.82,Cleats,Perfect Fitness Perfect Rip Deck,2015-04-12,2017-07-08,1,1,0,,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-07-08,none,36,Medium,64,0.046814,0.976988,-0.208091
C000025,12431,Mary,Rios,Mary Rios,XXXXXXXXX,Corporate,Kaneohe,HI,EE. UU.,1221 Cinder Pines,96744,21.41555023,-157.803894,Pacific Asia,Oceania,14,36,8073.15,-737.1,26,0.7222,2.64,3.61,0.97,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2015-02-25,2017-07-10,1,0,0,4.0,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-07-10,none,55,High,45,0.108298,0.975988,0.188995
C000026,5897,Mary,Griffin,Mary Griffin,XXXXXXXXX,Home Office,Newburgh,NY,EE. UU.,8876 Misty Valley,12550,41.50205994,-74.01177216,Europe,US Center ,12,39,8061.12,1416.6,17,0.4359,3.23,3.56,0.33,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,2015-06-30,2017-09-08,1,0,0,,0,,Active,normal activity,Relationship check-in,2017-09-08,none,32,Low,68,-0.211745,0.974987,-0.067553
C000027,2774,Sandra,Smith,Sandra Smith,XXXXXXXXX,Consumer,Lockport,IL,EE. UU.,8161 Misty Port,60441,41.58304977,-88.05521393,Pacific Asia,Western Europe,12,36,8039.3,1233.44,14,0.3889,3.06,3.31,0.25,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2015-06-01,2017-08-25,1,0,0,4.0,0,,Active,normal activity,Relationship check-in,2017-08-25,none,28,Low,72,0.205709,0.973987,-0.095043
C000028,1011,Mary,Smith,Mary Smith,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,810 Jagged Pointe,725,18.29652023,-66.04867554,LATAM,Central America,12,38,8023.96,10.89,23,0.6053,2.21,2.82,0.61,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,2015-02-06,2017-08-10,1,0,1,1.0,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-08-10,none,45,Medium,55,-0.089127,0.972986,0.212964
C000029,6950,Nicholas,Smith,Nicholas Smith,XXXXXXXXX,Corporate,Marrero,LA,EE. UU.,603 Green Sky Promenade,70072,29.90017891,-90.10057068,Africa,Western Europe,12,40,7951.12,1461.89,15,0.375,3.05,3.9,0.85,Water Sports,Pelican Sunstream 100 Kayak,2015-10-15,2017-10-01,1,0,0,3.0,0,,Active,normal activity,Relationship check-in,2017-10-01,none,30,Low,70,-0.079549,0.971986,-0.221168
C000030,5216,Mary,Pitts,Mary Pitts,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,2459 Old Pine Boulevard,725,18.23713303,-66.37050629,LATAM,South America,12,36,7929.13,1596.08,10,0.2778,3.67,3.69,0.03,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,2015-02-07,2017-09-11,1,0,0,1.0,0,,Active,normal activity,Relationship check-in,2017-09-11,none,20,Low,80,0.211683,0.970985,0.111255
C000031,9300,Mary,Smith,Mary Smith,XXXXXXXXX,Home Office,Enfield,CT,EE. UU.,5662 Shady Harbour,6082,44.70373917,-93.17900848,LATAM,Central America,11,31,7891.21,-189.35,13,0.4194,2.68,2.77,0.1,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2015-04-12,2017-06-17,1,0,0,4.0,0,,Active,normal activity,Relationship check-in,2017-06-17,none,30,Low,70,-0.235133,0.969985,0.06198
C000032,10591,Deborah,Humphrey,Deborah Humphrey,XXXXXXXXX,Corporate,Plymouth,MA,EE. UU.,141 Honey Way,2360,41.92156601,-70.79362488,LATAM,Central America,14,45,7889.05,1698.59,28,0.6222,2.22,2.64,0.42,Cleats,Perfect Fitness Perfect Rip Deck,2015-04-18,2017-05-28,1,1,1,,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-05-28,none,46,Medium,54,0.133653,0.968984,-0.207861
C000033,9727,Mary,Cruz,Mary Cruz,XXXXXXXXX,Home Office,Chicago,IL,EE. UU.,6540 Thunder Square,60626,42.0063591,-87.66739655,LATAM,South America,9,37,7869.2,116.24,6,0.1622,3.46,3.16,-0.3,Cleats,Perfect Fitness Perfect Rip Deck,2015-05-19,2017-05-07,1,0,0,1.0,0,,Active,normal activity,Relationship check-in,2017-05-07,none,11,Low,89,0.042515,0.967984,0.247385
C000034,9557,Mary,Figueroa,Mary Figueroa,XXXXXXXXX,Consumer,Gardena,CA,EE. UU.,7980 Little Rise Village,90247,33.89164734,-118.299408,Europe,Western Europe,9,28,7782.25,1483.28,19,0.6786,3.5,4.36,0.86,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,2015-02-26,2017-06-21,1,0,1,2.0,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-06-21,none,52,Medium,48,-0.201482,0.966983,-0.156039
C000035,6375,Mary,Smith,Mary Smith,XXXXXXXXX,Corporate,Levittown,NY,EE. UU.,3890 Indian Robin Extension,11756,40.72494888,-73.52056122,Europe,Western Europe,9,36,7740.13,-40.92,29,0.8056,2.53,3.44,0.92,Cleats,Perfect Fitness Perfect Rip Deck,2015-04-25,2017-08-28,1,0,0,3.0,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-08-28,none,61,High,39,0.257723,0.965983,-0.021352
C000036,4781,Janet,Smith,Janet Smith,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,8617 Cinder Mountain Forest,725,18.25534058,-66.37050629,Pacific Asia,Southeast Asia,8,31,7719.19,1229.21,24,0.7742,2.81,4.06,1.26,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,2015-05-07,2016-09-16,1,0,0,4.0,1,Monitor,Stabilize,operational friction,Service recovery plan,2016-09-16,none,60,High,40,-0.178132,0.964982,0.192556
C000037,2723,Mary,Brady,Mary Brady,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,7231 Grand Turnabout,725,18.27003861,-66.37052918,Europe,Western Europe,7,30,7719.08,1674.83,30,1.0,2.1,4.3,2.2,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,2015-10-14,2017-08-21,1,0,1,,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-08-21,none,81,Critical,19,0.001297,0.963982,-0.265964
C000038,11017,Rachel,Prince,Rachel Prince,XXXXXXXXX,Home Office,Caguas,PR,Puerto Rico,2544 Broad Brook View,725,18.2525692,-66.37060547,LATAM,Central America,11,36,7692.17,1337.94,9,0.25,2.94,2.83,-0.11,Cleats,Perfect Fitness Perfect Rip Deck,2015-06-10,2017-05-15,1,0,1,2.0,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-05-15,none,18,Low,82,0.181118,0.962981,0.199657
C000039,5146,Harry,Graves,Harry Graves,XXXXXXXXX,Consumer,Santa Ana,CA,EE. UU.,7924 Wishing Nook,92707,33.66559982,-117.8830566,Pacific Asia,Western Europe,13,38,7689.15,538.21,8,0.2105,3.29,3.29,0.0,Water Sports,Pelican Sunstream 100 Kayak,2015-05-01,2017-05-14,1,0,0,,0,,Active,normal activity,Relationship check-in,2017-05-14,none,15,Low,85,-0.271951,0.961981,-0.025204
C000040,9271,Christopher,Smith,Christopher Smith,XXXXXXXXX,Consumer,Fort Worth,TX,EE. UU.,5020 Hazy Rise Carrefour,76106,32.8013916,-97.3302536,USCA,Central America,8,35,7665.25,1318.67,9,0.2571,3.71,3.86,0.14,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2015-01-10,2017-02-21,1,1,1,,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-02-21,none,19,Low,81,0.220341,0.96098,-0.167231
C000041,12285,Patrick,Mcgee,Patrick Mcgee,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,2059 Sunny Cape,725,18.29791451,-66.37050629,LATAM,South America,7,29,7659.12,1663.41,24,0.8276,2.34,3.17,0.83,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2015-02-20,2017-09-02,1,0,0,,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-09-02,none,62,High,38,-0.050128,0.95998,0.275546
C000042,8517,Debra,Smith,Debra Smith,XXXXXXXXX,Consumer,Humacao,PR,Puerto Rico,5138 Green Boulevard,791,18.1501503,-65.82595062,LATAM,South America,13,34,7654.22,827.22,16,0.4706,2.47,2.68,0.21,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2015-04-16,2017-09-12,1,0,0,,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-09-12,none,34,Low,66,-0.150981,0.958979,-0.239923
C000043,7218,Mary,Nguyen,Mary Nguyen,XXXXXXXXX,Consumer,Brooklyn,NY,EE. UU.,5707 Burning Manor,11208,40.67343903,-73.87017822,Pacific Asia,Central America,10,34,7654.13,1027.12,19,0.5588,2.88,3.79,0.91,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,2015-05-16,2017-07-05,1,0,0,,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-07-05,none,44,Medium,56,0.276638,0.957979,0.075815
C000044,749,Jesse,Matthews,Jesse Matthews,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,529 Cotton Branch Grove,725,18.2275734,-66.04399109,LATAM,Central America,12,38,7649.38,1855.15,23,0.6053,3.29,3.95,0.66,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,2015-01-19,2017-09-17,1,0,1,,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-09-17,none,46,Medium,54,-0.25815,0.956978,0.132479
C000045,10777,Martha,Smith,Martha Smith,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,9602 Shady Oak Bay,725,18.28759575,-66.37058258,LATAM,Central America,9,34,7644.25,587.72,15,0.4412,3.03,3.12,0.09,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,2015-01-17,2017-08-13,1,1,0,,0,,Active,normal activity,Relationship check-in,2017-08-13,none,31,Low,69,0.102004,0.955978,-0.275139
C000046,1492,Gerald,Patel,Gerald Patel,XXXXXXXXX,Consumer,Montebello,CA,EE. UU.,381 Velvet Hickory Beach,90640,34.01502609,-118.10672,LATAM,South America,11,38,7627.15,1272.63,28,0.7368,2.61,3.92,1.32,Cleats,Perfect Fitness Perfect Rip Deck,2015-01-12,2017-02-10,1,1,0,,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-02-10,none,58,High,42,0.11186,0.954977,0.274782
C000047,5691,James,Brown,James Brown,XXXXXXXXX,Corporate,Humacao,PR,Puerto Rico,3444 Quiet Bluff Farm,791,18.1501503,-65.82595062,LATAM,South America,11,39,7609.04,740.19,29,0.7436,3.21,3.79,0.59,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,2015-01-25,2017-06-17,1,0,0,,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-06-17,none,55,High,45,-0.270988,0.953977,-0.128426
C000048,5217,David,Smith,David Smith,XXXXXXXXX,Home Office,Livermore,CA,EE. UU.,6906 Quiet Rise,94550,37.3900528,-121.4688492,Pacific Asia,Eastern Asia,11,32,7559.19,1698.08,16,0.5,2.81,3.19,0.38,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2015-05-04,2017-08-22,1,1,0,,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-08-22,none,37,Medium,63,0.289593,0.952976,-0.089285
C000049,9737,Benjamin,Smith,Benjamin Smith,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,1800 Quiet Creek Stead,725,18.25828552,-66.37052155,LATAM,Central America,9,36,7539.04,329.79,9,0.25,3.28,3.17,-0.11,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,2015-04-08,2017-08-17,1,0,0,,0,,Active,normal activity,Relationship check-in,2017-08-17,none,18,Low,82,-0.154808,0.951976,0.264152
C000050,10371,Joseph,Smith,Joseph Smith,XXXXXXXXX,Consumer,Mount Prospect,IL,EE. UU.,9128 Little Cloud Bay,60056,42.03620529,-87.96143341,LATAM,Western Europe,10,36,7518.13,633.95,15,0.4167,3.0,3.17,0.17,Water Sports,Pelican Sunstream 100 Kayak,2015-01-10,2017-09-07,1,0,0,,0,,Active,normal activity,Relationship check-in,2017-09-07,none,30,Low,70,-0.064931,0.950975,-0.302373
C000051,341,Mary,Smith,Mary Smith,XXXXXXXXX,Consumer,Carlsbad,CA,EE. UU.,141 Dewy Plaza,92009,33.10355759,-117.2678757,LATAM,Central America,9,37,7516.02,1329.04,30,0.8108,2.08,2.92,0.84,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2015-02-02,2017-08-28,1,0,0,1.0,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-08-28,none,61,High,39,0.254623,0.949975,0.180872
C000052,2484,Sarah,Smith,Sarah Smith,XXXXXXXXX,Corporate,Apex,NC,EE. UU.,8249 Misty End,27502,35.73103714,-78.85575104,Europe,Western Europe,9,29,7499.32,433.5,22,0.7586,2.62,3.66,1.03,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,2015-01-12,2017-09-25,1,0,0,,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-09-25,none,58,High,42,-0.312932,0.948974,0.039
C000053,9883,Michelle,Waters,Michelle Waters,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,4868 High Diversion,725,18.26739311,-66.3706131,LATAM,Central America,10,36,7499.09,1185.84,31,0.8611,1.69,2.56,0.86,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2015-02-26,2017-06-29,1,0,1,,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-06-29,none,65,High,35,0.206343,0.947974,-0.242421
C000054,9494,Robert,Gilmore,Robert Gilmore,XXXXXXXXX,Corporate,Del Rio,TX,EE. UU.,8248 Clear Glade,78840,29.77310181,-100.6121979,LATAM,Central America,10,36,7495.16,1051.79,21,0.5833,3.31,3.64,0.33,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,2015-02-11,2017-04-15,1,0,1,5.0,3,Escalate,At Risk,critical support or high risk score,Executive escalation,2017-04-15,none,42,Medium,58,0.01171,0.946973,0.321098
C000055,5283,Jacob,Guerrero,Jacob Guerrero,XXXXXXXXX,Consumer,Escondido,CA,EE. UU.,3309 Grand Circuit,92026,33.13901901,-117.0928192,Europe,Central America,14,39,7475.32,702.24,24,0.6154,2.95,3.51,0.56,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2015-01-11,2017-09-21,1,1,0,,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-09-21,none,46,Medium,54,-0.227592,0.945973,-0.230948
C000056,1695,Amanda,Marquez,Amanda Marquez,XXXXXXXXX,Corporate,Saint Paul,MN,EE. UU.,9539 Velvet Trace,55106,44.95698166,-93.06536865,LATAM,Northern Europe,13,33,7469.26,1091.17,17,0.5152,2.67,2.64,-0.03,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2015-01-19,2017-03-11,1,1,0,,1,Monitor,Stabilize,operational friction,Service recovery plan,2017-03-11,none,36,Medium,64,0.326723,0.944972,0.016706
C000057,1920,Stephanie,Archer,Stephanie Archer,XXXXXXXXX,Home Office,Caguas,PR,Puerto Rico,2749 Dusty Orchard,725,18.22962761,-66.3705368,Europe,Western Europe,11,38,7457.02,898.2,17,0.4474,2.95,3.16,0.21,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2015-09-11,2017-08-17,1,1,0,,0,,Active,normal activity,Relationship check-in,2017-08-17,none,32,Low,68,-0.254417,0.943972,0.210212
