source_ticket_id,ticket_id,customer_id,source_customer_id,customer_full_name,support_customer_name,support_customer_email,mapping_method,mapping_confidence,mapping_note
5081,T5081,C001169,1843,Frank Garcia,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6935,T6935,C001169,1843,Frank Garcia,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6931,T6931,C001169,1843,Frank Garcia,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6929,T6929,C000325,291,John Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6924,T6924,C000325,291,John Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6922,T6922,C000325,291,John Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6921,T6921,C000325,291,John Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5080,T5080,C000325,291,John Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5077,T5077,C000325,291,John Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5968,T5968,C001906,2825,Sarah Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5966,T5966,C001906,2825,Sarah Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5963,T5963,C001906,2825,Sarah Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6022,T6022,C001906,2825,Sarah Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6021,T6021,C001906,2825,Sarah Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6020,T6020,C001906,2825,Sarah Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6909,T6909,C000346,12235,Jane Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6906,T6906,C000346,12235,Jane Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5095,T5095,C000346,12235,Jane Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5089,T5089,C000346,12235,Jane Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5956,T5956,C000346,12235,Jane Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5952,T5952,C000346,12235,Jane Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5948,T5948,C000346,12235,Jane Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5946,T5946,C000346,12235,Jane Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5942,T5942,C001299,7099,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5939,T5939,C001299,7099,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5936,T5936,C001299,7099,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5935,T5935,C001299,7099,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5932,T5932,C001299,7099,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5931,T5931,C000615,12189,Judith Hicks,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5930,T5930,C000615,12189,Judith Hicks,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5087,T5087,C000615,12189,Judith Hicks,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5906,T5906,C000615,12189,Judith Hicks,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5904,T5904,C000615,12189,Judith Hicks,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5899,T5899,C000615,12189,Judith Hicks,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5116,T5116,C000615,12189,Judith Hicks,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5109,T5109,C000615,12189,Judith Hicks,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5106,T5106,C001597,6834,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5103,T5103,C001597,6834,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5102,T5102,C001597,6834,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6032,T6032,C001597,6834,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6030,T6030,C001597,6834,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6025,T6025,C001597,6834,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5926,T5926,C001327,6730,Mary Gallegos,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5924,T5924,C001327,6730,Mary Gallegos,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5919,T5919,C001327,6730,Mary Gallegos,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5917,T5917,C001327,6730,Mary Gallegos,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6919,T6919,C001327,6730,Mary Gallegos,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5869,T5869,C001327,6730,Mary Gallegos,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5134,T5134,C001327,6730,Mary Gallegos,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5132,T5132,C001327,6730,Mary Gallegos,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6884,T6884,C001662,1116,Mary Henderson,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6875,T6875,C001662,1116,Mary Henderson,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6899,T6899,C001662,1116,Mary Henderson,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6890,T6890,C001662,1116,Mary Henderson,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5122,T5122,C001662,1116,Mary Henderson,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6049,T6049,C001662,1116,Mary Henderson,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6044,T6044,C001662,1116,Mary Henderson,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6082,T6082,C001662,1116,Mary Henderson,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5916,T5916,C001041,7974,Mary Shaw,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5915,T5915,C001041,7974,Mary Shaw,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5913,T5913,C001041,7974,Mary Shaw,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5912,T5912,C001041,7974,Mary Shaw,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5908,T5908,C001041,7974,Mary Shaw,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5144,T5144,C001041,7974,Mary Shaw,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5141,T5141,C001041,7974,Mary Shaw,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5139,T5139,C001472,7738,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5137,T5137,C001472,7738,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5135,T5135,C001472,7738,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5895,T5895,C001472,7738,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5891,T5891,C001472,7738,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5888,T5888,C001236,4495,Mary White,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5884,T5884,C001236,4495,Mary White,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6104,T6104,C001236,4495,Mary White,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6102,T6102,C001236,4495,Mary White,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6098,T6098,C001236,4495,Mary White,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6094,T6094,C001236,4495,Mary White,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6093,T6093,C001236,4495,Mary White,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5879,T5879,C000369,9153,Sharon Jenkins,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5871,T5871,C000369,9153,Sharon Jenkins,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6109,T6109,C000369,9153,Sharon Jenkins,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6105,T6105,C000369,9153,Sharon Jenkins,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5859,T5859,C000369,9153,Sharon Jenkins,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6836,T6836,C000369,9153,Sharon Jenkins,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6835,T6835,C000369,9153,Sharon Jenkins,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6828,T6828,C000369,9153,Sharon Jenkins,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6848,T6848,C000393,6959,Joan Lin,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6845,T6845,C000393,6959,Joan Lin,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6843,T6843,C000393,6959,Joan Lin,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5151,T5151,C000393,6959,Joan Lin,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5150,T5150,C000393,6959,Joan Lin,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6870,T6870,C000393,6959,Joan Lin,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6866,T6866,C000393,6959,Joan Lin,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6860,T6860,C000393,6959,Joan Lin,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6858,T6858,C001426,8294,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6857,T6857,C001426,8294,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5163,T5163,C001426,8294,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6837,T6837,C001426,8294,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5850,T5850,C001426,8294,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6135,T6135,C000163,230,Kimberly Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6134,T6134,C000163,230,Kimberly Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6124,T6124,C000163,230,Kimberly Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6123,T6123,C000163,230,Kimberly Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6122,T6122,C000163,230,Kimberly Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5841,T5841,C000163,230,Kimberly Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5838,T5838,C000163,230,Kimberly Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5837,T5837,C001801,2467,Keith Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5836,T5836,C001801,2467,Keith Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5867,T5867,C001801,2467,Keith Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6119,T6119,C001801,2467,Keith Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6118,T6118,C001801,2467,Keith Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6114,T6114,C001801,2467,Keith Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5191,T5191,C001801,2467,Keith Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5190,T5190,C001801,2467,Keith Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5182,T5182,C000534,1512,Mary Rowe,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5180,T5180,C000534,1512,Mary Rowe,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5835,T5835,C000534,1512,Mary Rowe,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6150,T6150,C000534,1512,Mary Rowe,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6144,T6144,C000534,1512,Mary Rowe,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6143,T6143,C001165,5147,Mary Hurst,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6141,T6141,C001165,5147,Mary Hurst,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6139,T6139,C001165,5147,Mary Hurst,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5831,T5831,C001165,5147,Mary Hurst,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5830,T5830,C001165,5147,Mary Hurst,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5822,T5822,C001165,5147,Mary Hurst,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6817,T6817,C001165,5147,Mary Hurst,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6813,T6813,C001165,5147,Mary Hurst,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5175,T5175,C000275,5477,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5201,T5201,C000275,5477,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5199,T5199,C000275,5477,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5194,T5194,C000275,5477,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5821,T5821,C000275,5477,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6165,T6165,C001258,1478,Anna Sanchez,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6164,T6164,C001258,1478,Anna Sanchez,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6162,T6162,C001258,1478,Anna Sanchez,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6159,T6159,C001258,1478,Anna Sanchez,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6155,T6155,C001258,1478,Anna Sanchez,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5815,T5815,C001258,1478,Anna Sanchez,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5804,T5804,C001258,1478,Anna Sanchez,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5802,T5802,C001258,1478,Anna Sanchez,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6805,T6805,C000926,2083,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6795,T6795,C000926,2083,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6794,T6794,C000926,2083,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6793,T6793,C000926,2083,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5220,T5220,C000926,2083,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5219,T5219,C001012,6573,Joseph Noble,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5216,T5216,C001012,6573,Joseph Noble,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6791,T6791,C001012,6573,Joseph Noble,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6181,T6181,C001012,6573,Joseph Noble,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6173,T6173,C001012,6573,Joseph Noble,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6170,T6170,C001468,4624,Kenneth Matthews,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5798,T5798,C001468,4624,Kenneth Matthews,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5796,T5796,C001468,4624,Kenneth Matthews,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5794,T5794,C001468,4624,Kenneth Matthews,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5793,T5793,C001468,4624,Kenneth Matthews,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5792,T5792,C001468,4624,Kenneth Matthews,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5790,T5790,C001468,4624,Kenneth Matthews,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6784,T6784,C001619,7465,Andrew Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6780,T6780,C001619,7465,Andrew Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5208,T5208,C001619,7465,Andrew Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6187,T6187,C001619,7465,Andrew Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6204,T6204,C001619,7465,Andrew Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5249,T5249,C001619,7465,Andrew Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5244,T5244,C001619,7465,Andrew Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5243,T5243,C001320,6003,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5239,T5239,C001320,6003,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5237,T5237,C001320,6003,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5236,T5236,C001320,6003,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5235,T5235,C001320,6003,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5230,T5230,C001862,9885,Jordan Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6772,T6772,C001862,9885,Jordan Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6771,T6771,C001862,9885,Jordan Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6769,T6769,C001862,9885,Jordan Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6764,T6764,C001862,9885,Jordan Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5223,T5223,C001862,9885,Jordan Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5222,T5222,C001862,9885,Jordan Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6217,T6217,C000492,3838,Joseph Jackson,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5766,T5766,C000492,3838,Joseph Jackson,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6753,T6753,C000492,3838,Joseph Jackson,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6751,T6751,C000492,3838,Joseph Jackson,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6749,T6749,C000492,3838,Joseph Jackson,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6746,T6746,C001338,4308,William Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5252,T5252,C001338,4308,William Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5251,T5251,C001338,4308,William Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5789,T5789,C001338,4308,William Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5788,T5788,C001338,4308,William Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5787,T5787,C001338,4308,William Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5786,T5786,C001338,4308,William Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6200,T6200,C001338,4308,William Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6194,T6194,C000551,10490,Brenda Ramirez,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6192,T6192,C000551,10490,Brenda Ramirez,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6189,T6189,C000551,10490,Brenda Ramirez,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5741,T5741,C000551,10490,Brenda Ramirez,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6242,T6242,C000551,10490,Brenda Ramirez,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6731,T6731,C001515,6108,Emma Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6729,T6729,C001515,6108,Emma Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5272,T5272,C001515,6108,Emma Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5271,T5271,C001515,6108,Emma Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5265,T5265,C001515,6108,Emma Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5262,T5262,C001515,6108,Emma Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5784,T5784,C001515,6108,Emma Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5780,T5780,C001046,9721,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
5777,T5777,C001046,9721,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
6232,T6232,C001046,9721,Mary Smith,,,risk_redistribution_v2,1.0,Reassigned by repair_data.py to track risk_score.
