outcome_id,review_id,customer_id,source_customer_id,customer_full_name,outcome_date,outcome_status,outcome_type,follow_up_required
OUT000179,R9179,C000132,11426,Mary Smith,2026-05-07,Completed,Service recovery plan,False
OUT000180,R9180,C000133,11983,Mary Bell,2026-05-08,Completed,Service recovery plan,False
OUT000181,R9181,C000136,8170,Rachel Smith,2026-05-08,Completed,Service recovery plan,False
OUT000182,R9182,C000137,5168,Mary Smith,2026-05-07,In Progress,Executive escalation,True
OUT000183,R9183,C000137,5168,Mary Smith,2026-05-08,In Progress,Executive escalation,True
OUT000184,R9184,C000137,5168,Mary Smith,2026-05-09,In Progress,Executive escalation,True
OUT000185,R9185,C000138,8964,Mary Berger,2026-05-07,Completed,Service recovery plan,False
OUT000186,R9186,C000139,2224,Ann Mercado,2026-05-07,In Progress,Executive escalation,True
OUT000187,R9187,C000139,2224,Ann Mercado,2026-05-08,In Progress,Executive escalation,True
OUT000188,R9188,C000139,2224,Ann Mercado,,Pending,Executive escalation,True
OUT000189,R9189,C000142,3550,Mary Garner,2026-05-07,Completed,Service recovery plan,False
OUT000190,R9190,C000143,7892,Michael Hayes,2026-05-08,In Progress,Executive escalation,True
OUT000191,R9191,C000143,7892,Michael Hayes,2026-05-08,In Progress,Executive escalation,True
OUT000192,R9192,C000143,7892,Michael Hayes,2026-05-09,In Progress,Executive escalation,True
OUT000193,R9193,C000144,7358,Michael Simpson,,Pending,Service recovery plan,True
OUT000194,R9194,C000145,437,Cynthia Benjamin,2026-05-07,Completed,Service recovery plan,False
OUT000195,R9195,C000148,1012,Mark Watts,,Pending,Executive escalation,True
OUT000196,R9196,C000148,1012,Mark Watts,,Pending,Executive escalation,True
OUT000197,R9197,C000148,1012,Mark Watts,2026-05-09,In Progress,Executive escalation,True
OUT000198,R9198,C000150,5173,Mary Smith,2026-05-08,Completed,Service recovery plan,False
OUT000199,R9199,C000151,4491,Mary Banks,,Pending,Service recovery plan,True
OUT000200,R9200,C000152,2113,David Smith,2026-05-07,Completed,Service recovery plan,False
OUT000201,R9201,C000153,5371,Emma Robinson,2026-05-08,In Progress,Executive escalation,True
OUT000202,R9202,C000153,5371,Emma Robinson,2026-05-08,In Progress,Executive escalation,True
OUT000203,R9203,C000153,5371,Emma Robinson,2026-05-09,In Progress,Executive escalation,True
OUT000204,R9204,C000154,1588,Mary Smith,,Pending,Service recovery plan,True
OUT000205,R9205,C000155,9515,Victoria Smith,,Pending,Executive escalation,True
OUT000206,R9206,C000155,9515,Victoria Smith,2026-05-08,In Progress,Executive escalation,True
OUT000207,R9207,C000155,9515,Victoria Smith,,Pending,Executive escalation,True
OUT000208,R9208,C000156,482,Megan Moreno,2026-05-07,Completed,Service recovery plan,False
OUT000209,R9209,C000158,6812,Sharon Smith,,Pending,Executive escalation,True
OUT000210,R9210,C000158,6812,Sharon Smith,2026-05-08,In Progress,Executive escalation,True
OUT000211,R9211,C000158,6812,Sharon Smith,2026-05-09,In Progress,Executive escalation,True
OUT000212,R9212,C000159,5493,Mary Cochran,2026-05-08,In Progress,Executive escalation,True
OUT000213,R9213,C000159,5493,Mary Cochran,,Pending,Executive escalation,True
OUT000214,R9214,C000159,5493,Mary Cochran,2026-05-09,In Progress,Executive escalation,True
OUT000215,R9215,C000160,5072,Jacob Smith,2026-05-08,Completed,Service recovery plan,False
OUT000216,R9216,C000162,3889,Mary Smith,2026-05-08,In Progress,Executive escalation,True
OUT000217,R9217,C000162,3889,Mary Smith,,Pending,Executive escalation,True
OUT000218,R9218,C000162,3889,Mary Smith,,Pending,Executive escalation,True
OUT000219,R9219,C000163,230,Kimberly Smith,2026-05-08,In Progress,Executive escalation,True
OUT000220,R9220,C000163,230,Kimberly Smith,2026-05-08,In Progress,Executive escalation,True
OUT000221,R9221,C000163,230,Kimberly Smith,2026-05-09,In Progress,Executive escalation,True
OUT000222,R9222,C000164,1025,Megan Todd,2026-05-08,Completed,Service recovery plan,False
OUT000223,R9223,C000165,4539,Jacqueline James,2026-05-08,Completed,Service recovery plan,False
OUT000224,R9224,C000166,8820,Jessica Smith,2026-05-07,Completed,Service recovery plan,False
OUT000225,R9225,C000168,5867,Beverly Jackson,2026-05-07,Completed,Service recovery plan,False
OUT000226,R9226,C000169,9073,Thomas Skinner,2026-05-07,Completed,Service recovery plan,False
OUT000227,R9227,C000170,6303,Mary Smith,,Pending,Executive escalation,True
OUT000228,R9228,C000170,6303,Mary Smith,2026-05-08,In Progress,Executive escalation,True
OUT000229,R9229,C000170,6303,Mary Smith,2026-05-09,In Progress,Executive escalation,True
OUT000230,R9230,C000171,58,Michael Edwards,,Pending,Executive escalation,True
OUT000231,R9231,C000171,58,Michael Edwards,,Pending,Executive escalation,True
OUT000232,R9232,C000171,58,Michael Edwards,2026-05-09,In Progress,Executive escalation,True
OUT000233,R9233,C000173,1599,Andrew Smith,2026-05-07,Completed,Service recovery plan,False
OUT000234,R9234,C000174,9368,Mary Cabrera,2026-05-08,In Progress,Executive escalation,True
OUT000235,R9235,C000174,9368,Mary Cabrera,2026-05-08,In Progress,Executive escalation,True
OUT000236,R9236,C000174,9368,Mary Cabrera,2026-05-09,In Progress,Executive escalation,True
OUT000237,R9237,C000176,4627,Eric Lang,2026-05-07,Completed,Service recovery plan,False
OUT000238,R9238,C000177,3259,Mary Gallegos,2026-05-07,Completed,Service recovery plan,False
OUT000239,R9239,C000178,172,Lauren Rush,,Pending,Service recovery plan,True
OUT000240,R9240,C000180,5778,Evelyn Smith,,Pending,Executive escalation,True
OUT000241,R9241,C000180,5778,Evelyn Smith,2026-05-08,In Progress,Executive escalation,True
OUT000242,R9242,C000180,5778,Evelyn Smith,2026-05-09,In Progress,Executive escalation,True
OUT000243,R9243,C000181,10111,Mary Garcia,2026-05-08,In Progress,Executive escalation,True
OUT000244,R9244,C000181,10111,Mary Garcia,2026-05-08,In Progress,Executive escalation,True
OUT000245,R9245,C000181,10111,Mary Garcia,2026-05-09,In Progress,Executive escalation,True
OUT000246,R9246,C000183,7857,Jean Bentley,2026-05-07,Completed,Service recovery plan,False
OUT000247,R9247,C000184,1844,Teresa Smith,2026-05-07,Completed,Service recovery plan,False
OUT000248,R9248,C000185,6953,Benjamin Smith,2026-05-08,In Progress,Executive escalation,True
OUT000249,R9249,C000185,6953,Benjamin Smith,2026-05-08,In Progress,Executive escalation,True
OUT000250,R9250,C000185,6953,Benjamin Smith,2026-05-09,In Progress,Executive escalation,True
OUT000251,R9251,C000186,10601,Patrick Mayo,2026-05-08,Completed,Service recovery plan,False
OUT000252,R9252,C000187,1537,Linda Murray,2026-05-08,Completed,Service recovery plan,False
OUT000253,R9253,C000189,7597,Catherine Smith,2026-05-08,Completed,Service recovery plan,False
OUT000254,R9254,C000190,7717,Terry Smith,2026-05-08,Completed,Service recovery plan,False
OUT000255,R9255,C000193,11132,Jonathan Washington,2026-05-08,Completed,Service recovery plan,False
OUT000256,R9256,C000194,5560,Mary Rodriguez,2026-05-07,Completed,Service recovery plan,False
OUT000257,R9257,C000195,11337,Mary Howell,2026-05-08,Completed,Service recovery plan,False
OUT000258,R9258,C000196,1148,Mary Anderson,,Pending,Service recovery plan,True
OUT000259,R9259,C000197,4394,Christopher Smith,,Pending,Service recovery plan,True
OUT000260,R9260,C000198,11534,Mary Kim,2026-05-07,Completed,Service recovery plan,False
OUT000261,R9261,C000199,12406,Mary Michael,,Pending,Service recovery plan,True
OUT000262,R9262,C000202,2197,Joseph Smith,2026-05-07,Completed,Service recovery plan,False
OUT000263,R9263,C000204,10699,Mary Lee,2026-05-08,In Progress,Executive escalation,True
OUT000264,R9264,C000204,10699,Mary Lee,,Pending,Executive escalation,True
OUT000265,R9265,C000204,10699,Mary Lee,2026-05-09,In Progress,Executive escalation,True
OUT000266,R9266,C000205,9760,Mary Wolf,,Pending,Service recovery plan,True
OUT000267,R9267,C000207,1445,Linda Ortiz,2026-05-08,Completed,Service recovery plan,False
OUT000268,R9268,C000208,8861,Mary Smith,,Pending,Service recovery plan,True
OUT000269,R9269,C000209,7633,Emily Smith,,Pending,Service recovery plan,True
OUT000270,R9270,C000210,6664,Mary Hall,,Pending,Service recovery plan,True
OUT000271,R9271,C000211,11985,Jennifer Moss,,Pending,Executive escalation,True
OUT000272,R9272,C000211,11985,Jennifer Moss,,Pending,Executive escalation,True
OUT000273,R9273,C000211,11985,Jennifer Moss,,Pending,Executive escalation,True
OUT000274,R9274,C000212,4659,Paul Smith,2026-05-07,Completed,Service recovery plan,False
OUT000275,R9275,C000213,4530,Mary Smith,2026-05-08,Completed,Service recovery plan,False
OUT000276,R9276,C000214,11887,Christopher Smith,2026-05-08,In Progress,Executive escalation,True
OUT000277,R9277,C000214,11887,Christopher Smith,2026-05-08,In Progress,Executive escalation,True
OUT000278,R9278,C000214,11887,Christopher Smith,2026-05-09,In Progress,Executive escalation,True
OUT000279,R9279,C000215,5015,Mary Gutierrez,2026-05-08,Completed,Service recovery plan,False
OUT000280,R9280,C000216,7001,Mary Weeks,2026-05-07,In Progress,Executive escalation,True
OUT000281,R9281,C000216,7001,Mary Weeks,,Pending,Executive escalation,True
OUT000282,R9282,C000216,7001,Mary Weeks,,Pending,Executive escalation,True
OUT000283,R9283,C000217,5875,Mary Rodgers,2026-05-08,Completed,Service recovery plan,False
OUT000284,R9284,C000218,12221,Betty Sanchez,2026-05-07,In Progress,Executive escalation,True
OUT000285,R9285,C000218,12221,Betty Sanchez,2026-05-08,In Progress,Executive escalation,True
OUT000286,R9286,C000218,12221,Betty Sanchez,2026-05-09,In Progress,Executive escalation,True
OUT000287,R9287,C000219,7305,David Smith,,Pending,Service recovery plan,True
OUT000288,R9288,C000220,2220,James Smith,2026-05-08,In Progress,Executive escalation,True
OUT000289,R9289,C000220,2220,James Smith,2026-05-08,In Progress,Executive escalation,True
OUT000290,R9290,C000220,2220,James Smith,,Pending,Executive escalation,True
OUT000291,R9291,C000221,197,Ruth Smith,2026-05-07,Completed,Service recovery plan,False
OUT000292,R9292,C000222,11733,Christopher Chan,,Pending,Service recovery plan,True
OUT000293,R9293,C000223,6587,Heather Henson,2026-05-08,Completed,Service recovery plan,False
OUT000294,R9294,C000224,1417,Rachel Smith,,Pending,Service recovery plan,True
OUT000295,R9295,C000225,8522,Mary Smith,2026-05-07,Completed,Service recovery plan,False
OUT000296,R9296,C000226,3556,Mary Lane,2026-05-07,Completed,Service recovery plan,False
OUT000297,R9297,C000227,11947,Mary Smith,2026-05-07,In Progress,Executive escalation,True
OUT000298,R9298,C000227,11947,Mary Smith,2026-05-08,In Progress,Executive escalation,True
OUT000299,R9299,C000227,11947,Mary Smith,2026-05-09,In Progress,Executive escalation,True
OUT000300,R9300,C000228,123,Mary Mann,2026-05-08,Completed,Service recovery plan,False
OUT000301,R9301,C000229,2860,George Smith,2026-05-07,Completed,Service recovery plan,False
OUT000302,R9302,C000230,5583,Mary Skinner,,Pending,Executive escalation,True
OUT000303,R9303,C000230,5583,Mary Skinner,2026-05-08,In Progress,Executive escalation,True
OUT000304,R9304,C000230,5583,Mary Skinner,2026-05-09,In Progress,Executive escalation,True
OUT000305,R9305,C000231,9502,Matthew Love,2026-05-08,In Progress,Executive escalation,True
OUT000306,R9306,C000231,9502,Matthew Love,2026-05-08,In Progress,Executive escalation,True
OUT000307,R9307,C000231,9502,Matthew Love,2026-05-09,In Progress,Executive escalation,True
OUT000308,R9308,C000233,221,Mary Cox,2026-05-07,Completed,Service recovery plan,False
OUT000309,R9309,C000234,6101,Mary Smith,2026-05-07,In Progress,Executive escalation,True
OUT000310,R9310,C000234,6101,Mary Smith,,Pending,Executive escalation,True
OUT000311,R9311,C000234,6101,Mary Smith,2026-05-09,In Progress,Executive escalation,True
OUT000312,R9312,C000235,7926,Bobby Castillo,2026-05-08,Completed,Service recovery plan,False
OUT000313,R9313,C000236,1826,Matthew Smith,2026-05-08,Completed,Service recovery plan,False
OUT000314,R9314,C000237,938,Cheryl Smith,2026-05-07,Completed,Service recovery plan,False
