note_id,customer_id,source_customer_id,customer_full_name,scenario,topic,note_date,author,note_type,note_text,synthetic_flag,source_signal_ids
N7019,C000004,1657,Betty Phillips,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Betty Phillips has a late_delivery_frustration pattern tied to Men's Footwear.,true,T5501
N7020,C000004,1657,Betty Phillips,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Betty Phillips; topic is late_delivery_recovery.,true,T5501
N7021,C000004,1657,Betty Phillips,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Betty Phillips needs follow-up based on risk band Medium and support history.,true,T5501
N7022,C000004,1657,Betty Phillips,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Betty Phillips shows late-rate 0.6667 with category concentration in Men's Footwear.,true,T5501
N7023,C000004,1657,Betty Phillips,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Betty Phillips; retain evidence links before outreach.,true,T5501
N7024,C000005,2641,Betty Spears,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Betty Spears has a late_delivery_frustration pattern tied to Cleats.,true,T6267
N7025,C000005,2641,Betty Spears,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Betty Spears; topic is late_delivery_recovery.,true,T6267
N7026,C000005,2641,Betty Spears,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Betty Spears needs follow-up based on risk band Medium and support history.,true,T6267
N7027,C000005,2641,Betty Spears,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Betty Spears shows late-rate 0.5116 with category concentration in Cleats.,true,T6267
N7028,C000005,2641,Betty Spears,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Betty Spears; retain evidence links before outreach.,true,T6267
N7029,C000006,1288,Evelyn Thompson,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Evelyn Thompson has a escalation_retention_case pattern tied to Water Sports.,true,T6006
N7030,C000006,1288,Evelyn Thompson,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Evelyn Thompson; topic is executive_escalation.,true,T6006
N7031,C000006,1288,Evelyn Thompson,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Evelyn Thompson needs follow-up based on risk band Medium and support history.,true,T6006
N7032,C000006,1288,Evelyn Thompson,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Evelyn Thompson shows late-rate 0.5476 with category concentration in Water Sports.,true,T6006
N7033,C000006,1288,Evelyn Thompson,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Evelyn Thompson; retain evidence links before outreach.,true,T6006
N7034,C000006,1288,Evelyn Thompson,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer-success owner should align response tone with escalation_retention_case scenario.,true,T6006
N7035,C000006,1288,Evelyn Thompson,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Monitor whether the next interaction with Evelyn Thompson resolves the current executive_escalation thread.,true,T6006
N7036,C000006,1288,Evelyn Thompson,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,"Escalation summary for Evelyn Thompson: protect revenue, close open issues, and document human review.",true,T6006
N7037,C000007,3710,Ashley Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Ashley Smith has a escalation_retention_case pattern tied to Fishing.,true,T6857
N7038,C000007,3710,Ashley Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Ashley Smith; topic is executive_escalation.,true,T6857
N7039,C000007,3710,Ashley Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Ashley Smith needs follow-up based on risk band Low and support history.,true,T6857
N7040,C000007,3710,Ashley Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Ashley Smith shows late-rate 0.2619 with category concentration in Fishing.,true,T6857
N7041,C000007,3710,Ashley Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Ashley Smith; retain evidence links before outreach.,true,T6857
N7042,C000007,3710,Ashley Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer-success owner should align response tone with escalation_retention_case scenario.,true,T6857
N7043,C000007,3710,Ashley Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Monitor whether the next interaction with Ashley Smith resolves the current executive_escalation thread.,true,T6857
N7044,C000007,3710,Ashley Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,"Escalation summary for Ashley Smith: protect revenue, close open issues, and document human review.",true,T6857
N7045,C000008,4249,Mary Butler,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Mary Butler has a escalation_retention_case pattern tied to Indoor/Outdoor Games.,true,T5749
N7046,C000008,4249,Mary Butler,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Mary Butler; topic is executive_escalation.,true,T5749
N7047,C000008,4249,Mary Butler,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Mary Butler needs follow-up based on risk band Medium and support history.,true,T5749
N7048,C000008,4249,Mary Butler,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Mary Butler shows late-rate 0.6154 with category concentration in Indoor/Outdoor Games.,true,T5749
N7049,C000008,4249,Mary Butler,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Mary Butler; retain evidence links before outreach.,true,T5749
N7050,C000008,4249,Mary Butler,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer-success owner should align response tone with escalation_retention_case scenario.,true,T5749
N7051,C000008,4249,Mary Butler,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Monitor whether the next interaction with Mary Butler resolves the current executive_escalation thread.,true,T5749
N7052,C000008,4249,Mary Butler,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,"Escalation summary for Mary Butler: protect revenue, close open issues, and document human review.",true,T5749
N7053,C000009,5654,Jerry Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Jerry Smith has a escalation_retention_case pattern tied to Cleats.,true,T5151
N7054,C000009,5654,Jerry Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Jerry Smith; topic is executive_escalation.,true,T5151
N7055,C000009,5654,Jerry Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Jerry Smith needs follow-up based on risk band High and support history.,true,T5151
N7056,C000009,5654,Jerry Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Jerry Smith shows late-rate 0.8298 with category concentration in Cleats.,true,T5151
N7057,C000009,5654,Jerry Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Jerry Smith; retain evidence links before outreach.,true,T5151
N7058,C000009,5654,Jerry Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer-success owner should align response tone with escalation_retention_case scenario.,true,T5151
N7059,C000009,5654,Jerry Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Monitor whether the next interaction with Jerry Smith resolves the current executive_escalation thread.,true,T5151
N7060,C000009,5654,Jerry Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,"Escalation summary for Jerry Smith: protect revenue, close open issues, and document human review.",true,T5151
N7061,C000010,5624,Mary Mata,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Mary Mata has a escalation_retention_case pattern tied to Men's Footwear.,true,T5908
N7062,C000010,5624,Mary Mata,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Mary Mata; topic is executive_escalation.,true,T5908
N7063,C000010,5624,Mary Mata,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Mary Mata needs follow-up based on risk band Medium and support history.,true,T5908
N7064,C000010,5624,Mary Mata,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Mary Mata shows late-rate 0.5789 with category concentration in Men's Footwear.,true,T5908
N7065,C000010,5624,Mary Mata,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Mary Mata; retain evidence links before outreach.,true,T5908
N7066,C000010,5624,Mary Mata,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer-success owner should align response tone with escalation_retention_case scenario.,true,T5908
N7067,C000010,5624,Mary Mata,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Monitor whether the next interaction with Mary Mata resolves the current executive_escalation thread.,true,T5908
N7068,C000010,5624,Mary Mata,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,"Escalation summary for Mary Mata: protect revenue, close open issues, and document human review.",true,T5908
N7069,C000011,5715,Kelly Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Kelly Smith has a late_delivery_frustration pattern tied to Women's Apparel.,true,T5795
N7070,C000011,5715,Kelly Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Kelly Smith; topic is late_delivery_recovery.,true,T5795
N7071,C000011,5715,Kelly Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Kelly Smith needs follow-up based on risk band Medium and support history.,true,T5795
N7072,C000011,5715,Kelly Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Kelly Smith shows late-rate 0.5909 with category concentration in Women's Apparel.,true,T5795
N7073,C000011,5715,Kelly Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Kelly Smith; retain evidence links before outreach.,true,T5795
N7074,C000012,1464,Amber Dixon,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Amber Dixon has a late_delivery_frustration pattern tied to Women's Apparel.,true,T6297
N7075,C000012,1464,Amber Dixon,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Amber Dixon; topic is late_delivery_recovery.,true,T6297
N7076,C000012,1464,Amber Dixon,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Amber Dixon needs follow-up based on risk band Medium and support history.,true,T6297
N7077,C000012,1464,Amber Dixon,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Amber Dixon shows late-rate 0.4524 with category concentration in Women's Apparel.,true,T6297
N7078,C000012,1464,Amber Dixon,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Amber Dixon; retain evidence links before outreach.,true,T6297
N7079,C000013,10235,Joseph Singh,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Joseph Singh has a late_delivery_frustration pattern tied to Men's Footwear.,true,T5705
N7080,C000013,10235,Joseph Singh,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Joseph Singh; topic is late_delivery_recovery.,true,T5705
N7081,C000013,10235,Joseph Singh,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Joseph Singh needs follow-up based on risk band Medium and support history.,true,T5705
N7082,C000013,10235,Joseph Singh,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Joseph Singh shows late-rate 0.6429 with category concentration in Men's Footwear.,true,T5705
N7083,C000013,10235,Joseph Singh,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Joseph Singh; retain evidence links before outreach.,true,T5705
N7084,C000014,664,Bobby Jimenez,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Bobby Jimenez has a late_delivery_frustration pattern tied to Cleats.,true,T5357
N7085,C000014,664,Bobby Jimenez,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Bobby Jimenez; topic is late_delivery_recovery.,true,T5357
N7086,C000014,664,Bobby Jimenez,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Bobby Jimenez needs follow-up based on risk band High and support history.,true,T5357
N7087,C000014,664,Bobby Jimenez,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Bobby Jimenez shows late-rate 0.7436 with category concentration in Cleats.,true,T5357
N7088,C000014,664,Bobby Jimenez,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Bobby Jimenez; retain evidence links before outreach.,true,T5357
N7089,C000015,10351,Teresa Gray,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Teresa Gray has a escalation_retention_case pattern tied to Cleats.,true,T5237
N7090,C000015,10351,Teresa Gray,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Teresa Gray; topic is executive_escalation.,true,T5237
N7091,C000015,10351,Teresa Gray,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Teresa Gray needs follow-up based on risk band High and support history.,true,T5237
N7092,C000015,10351,Teresa Gray,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Teresa Gray shows late-rate 0.8214 with category concentration in Cleats.,true,T5237
N7093,C000015,10351,Teresa Gray,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Teresa Gray; retain evidence links before outreach.,true,T5237
N7094,C000015,10351,Teresa Gray,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer-success owner should align response tone with escalation_retention_case scenario.,true,T5237
N7095,C000015,10351,Teresa Gray,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Monitor whether the next interaction with Teresa Gray resolves the current executive_escalation thread.,true,T5237
N7096,C000015,10351,Teresa Gray,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,"Escalation summary for Teresa Gray: protect revenue, close open issues, and document human review.",true,T5237
N7097,C000016,2292,Ashley Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Ashley Smith has a late_delivery_frustration pattern tied to Camping & Hiking.,true,T5706
N7098,C000016,2292,Ashley Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Ashley Smith; topic is late_delivery_recovery.,true,T5706
N7099,C000016,2292,Ashley Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Ashley Smith needs follow-up based on risk band Medium and support history.,true,T5706
N7100,C000016,2292,Ashley Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Ashley Smith shows late-rate 0.6316 with category concentration in Camping & Hiking.,true,T5706
N7101,C000016,2292,Ashley Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Ashley Smith; retain evidence links before outreach.,true,T5706
N7102,C000017,4663,Paul Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Paul Smith has a late_delivery_frustration pattern tied to Men's Footwear.,true,T5152
N7103,C000017,4663,Paul Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Paul Smith; topic is late_delivery_recovery.,true,T5152
N7104,C000017,4663,Paul Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Paul Smith needs follow-up based on risk band High and support history.,true,T5152
N7105,C000017,4663,Paul Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Paul Smith shows late-rate 0.8000 with category concentration in Men's Footwear.,true,T5152
N7106,C000017,4663,Paul Smith,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Paul Smith; retain evidence links before outreach.,true,T5152
N7107,C000018,3708,Judy Miller,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Judy Miller has a late_delivery_frustration pattern tied to Water Sports.,true,T5269
N7108,C000018,3708,Judy Miller,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Judy Miller; topic is late_delivery_recovery.,true,T5269
N7109,C000018,3708,Judy Miller,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Judy Miller needs follow-up based on risk band High and support history.,true,T5269
N7110,C000018,3708,Judy Miller,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Judy Miller shows late-rate 0.7727 with category concentration in Water Sports.,true,T5269
N7111,C000018,3708,Judy Miller,late_delivery_frustration,late_delivery_recovery,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Judy Miller; retain evidence links before outreach.,true,T5269
N7112,C000019,12284,Mary Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Mary Smith has a escalation_retention_case pattern tied to Cleats.,true,T6122
N7113,C000019,12284,Mary Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Mary Smith; topic is executive_escalation.,true,T6122
N7114,C000019,12284,Mary Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Mary Smith needs follow-up based on risk band Medium and support history.,true,T6122
N7115,C000019,12284,Mary Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Mary Smith shows late-rate 0.4884 with category concentration in Cleats.,true,T6122
N7116,C000019,12284,Mary Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Mary Smith; retain evidence links before outreach.,true,T6122
N7117,C000019,12284,Mary Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer-success owner should align response tone with escalation_retention_case scenario.,true,T6122
N7118,C000019,12284,Mary Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Monitor whether the next interaction with Mary Smith resolves the current executive_escalation thread.,true,T6122
N7119,C000019,12284,Mary Smith,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,"Escalation summary for Mary Smith: protect revenue, close open issues, and document human review.",true,T6122
N7120,C000020,7200,Katherine Smith,healthy_repeat_buyer,relationship_check_in,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Katherine Smith has a healthy_repeat_buyer pattern tied to Cleats.,true,T6737
N7121,C000020,7200,Katherine Smith,healthy_repeat_buyer,relationship_check_in,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Katherine Smith; topic is relationship_check_in.,true,T6737
N7122,C000021,5927,Christopher Cooper,healthy_repeat_buyer,relationship_check_in,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Christopher Cooper has a healthy_repeat_buyer pattern tied to Cleats.,true,T6636
N7123,C000021,5927,Christopher Cooper,healthy_repeat_buyer,relationship_check_in,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Christopher Cooper; topic is relationship_check_in.,true,T6636
N7124,C000022,5004,Dorothy Friedman,healthy_repeat_buyer,relationship_check_in,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Dorothy Friedman has a healthy_repeat_buyer pattern tied to Indoor/Outdoor Games.,true,T6637
N7125,C000022,5004,Dorothy Friedman,healthy_repeat_buyer,relationship_check_in,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Dorothy Friedman; topic is relationship_check_in.,true,T6637
N7126,C000023,1443,Denise Cohen,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Denise Cohen has a escalation_retention_case pattern tied to Women's Apparel.,true,T5624
N7127,C000023,1443,Denise Cohen,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Reviewed recent order and support signals for Denise Cohen; topic is executive_escalation.,true,T5624
N7128,C000023,1443,Denise Cohen,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Denise Cohen needs follow-up based on risk band Medium and support history.,true,T5624
N7129,C000023,1443,Denise Cohen,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer activity for Denise Cohen shows late-rate 0.6512 with category concentration in Women's Apparel.,true,T5624
N7130,C000023,1443,Denise Cohen,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Prepared next-step context for Denise Cohen; retain evidence links before outreach.,true,T5624
N7131,C000023,1443,Denise Cohen,escalation_retention_case,executive_escalation,2026-05-06,Nelson DSS Synthetic CS,Customer Risk Review,Customer-success owner should align response tone with escalation_retention_case scenario.,true,T5624
