engagement_id,customer_id,source_customer_id,customer_full_name,event_date,event_type,campaign,channel,engagement_score
ENG000062,C000016,2292,Ashley Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000063,C000016,2292,Ashley Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000064,C000016,2292,Ashley Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000065,C000017,4663,Paul Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000066,C000017,4663,Paul Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000067,C000017,4663,Paul Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000068,C000017,4663,Paul Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000069,C000018,3708,Judy Miller,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000070,C000018,3708,Judy Miller,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000071,C000018,3708,Judy Miller,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000072,C000018,3708,Judy Miller,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000073,C000019,12284,Mary Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000074,C000019,12284,Mary Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000075,C000019,12284,Mary Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000076,C000019,12284,Mary Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000077,C000020,7200,Katherine Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000078,C000020,7200,Katherine Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000079,C000020,7200,Katherine Smith,2026-05-08,promo_response,Reactivation,Email,18
ENG000080,C000021,5927,Christopher Cooper,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000081,C000021,5927,Christopher Cooper,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000082,C000021,5927,Christopher Cooper,2026-05-08,promo_response,Reactivation,Email,18
ENG000083,C000022,5004,Dorothy Friedman,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000084,C000022,5004,Dorothy Friedman,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000085,C000022,5004,Dorothy Friedman,2026-05-08,promo_response,Reactivation,Email,18
ENG000086,C000023,1443,Denise Cohen,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000087,C000023,1443,Denise Cohen,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000088,C000023,1443,Denise Cohen,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000089,C000023,1443,Denise Cohen,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000090,C000024,6316,Kyle Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000091,C000024,6316,Kyle Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000092,C000024,6316,Kyle Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000093,C000024,6316,Kyle Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000094,C000025,12431,Mary Rios,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000095,C000025,12431,Mary Rios,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000096,C000025,12431,Mary Rios,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000097,C000025,12431,Mary Rios,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000098,C000026,5897,Mary Griffin,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000099,C000026,5897,Mary Griffin,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000100,C000026,5897,Mary Griffin,2026-05-08,promo_response,Reactivation,Email,18
ENG000101,C000027,2774,Sandra Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000102,C000027,2774,Sandra Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000103,C000027,2774,Sandra Smith,2026-05-08,promo_response,Reactivation,Email,18
ENG000104,C000028,1011,Mary Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000105,C000028,1011,Mary Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000106,C000028,1011,Mary Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000107,C000028,1011,Mary Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000108,C000029,6950,Nicholas Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000109,C000029,6950,Nicholas Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000110,C000029,6950,Nicholas Smith,2026-05-08,promo_response,Reactivation,Email,18
ENG000111,C000030,5216,Mary Pitts,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000112,C000030,5216,Mary Pitts,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000113,C000030,5216,Mary Pitts,2026-05-08,promo_response,Reactivation,Email,18
ENG000114,C000031,9300,Mary Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000115,C000031,9300,Mary Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000116,C000031,9300,Mary Smith,2026-05-08,promo_response,Reactivation,Email,18
ENG000117,C000032,10591,Deborah Humphrey,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000118,C000032,10591,Deborah Humphrey,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000119,C000032,10591,Deborah Humphrey,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000120,C000032,10591,Deborah Humphrey,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000121,C000033,9727,Mary Cruz,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000122,C000033,9727,Mary Cruz,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000123,C000033,9727,Mary Cruz,2026-05-08,promo_response,Reactivation,Email,18
ENG000124,C000034,9557,Mary Figueroa,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000125,C000034,9557,Mary Figueroa,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000126,C000034,9557,Mary Figueroa,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000127,C000034,9557,Mary Figueroa,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000128,C000035,6375,Mary Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000129,C000035,6375,Mary Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000130,C000035,6375,Mary Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000131,C000035,6375,Mary Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000132,C000036,4781,Janet Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000133,C000036,4781,Janet Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000134,C000036,4781,Janet Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000135,C000036,4781,Janet Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000136,C000037,2723,Mary Brady,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000137,C000037,2723,Mary Brady,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000138,C000037,2723,Mary Brady,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000139,C000037,2723,Mary Brady,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000140,C000038,11017,Rachel Prince,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000141,C000038,11017,Rachel Prince,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000142,C000038,11017,Rachel Prince,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000143,C000038,11017,Rachel Prince,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000144,C000039,5146,Harry Graves,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000145,C000039,5146,Harry Graves,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000146,C000039,5146,Harry Graves,2026-05-08,promo_response,Reactivation,Email,18
ENG000147,C000040,9271,Christopher Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000148,C000040,9271,Christopher Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000149,C000040,9271,Christopher Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000150,C000040,9271,Christopher Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000151,C000041,12285,Patrick Mcgee,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000152,C000041,12285,Patrick Mcgee,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000153,C000041,12285,Patrick Mcgee,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000154,C000041,12285,Patrick Mcgee,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000155,C000042,8517,Debra Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000156,C000042,8517,Debra Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000157,C000042,8517,Debra Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000158,C000042,8517,Debra Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000159,C000043,7218,Mary Nguyen,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000160,C000043,7218,Mary Nguyen,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000161,C000043,7218,Mary Nguyen,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000162,C000043,7218,Mary Nguyen,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000163,C000044,749,Jesse Matthews,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000164,C000044,749,Jesse Matthews,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000165,C000044,749,Jesse Matthews,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000166,C000044,749,Jesse Matthews,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000167,C000045,10777,Martha Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000168,C000045,10777,Martha Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000169,C000045,10777,Martha Smith,2026-05-08,promo_response,Reactivation,Email,18
ENG000170,C000046,1492,Gerald Patel,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000171,C000046,1492,Gerald Patel,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000172,C000046,1492,Gerald Patel,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000173,C000046,1492,Gerald Patel,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000174,C000047,5691,James Brown,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000175,C000047,5691,James Brown,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000176,C000047,5691,James Brown,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000177,C000047,5691,James Brown,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000178,C000048,5217,David Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000179,C000048,5217,David Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000180,C000048,5217,David Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000181,C000048,5217,David Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000182,C000049,9737,Benjamin Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000183,C000049,9737,Benjamin Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000184,C000049,9737,Benjamin Smith,2026-05-08,promo_response,Reactivation,Email,18
ENG000185,C000050,10371,Joseph Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000186,C000050,10371,Joseph Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000187,C000050,10371,Joseph Smith,2026-05-08,promo_response,Reactivation,Email,18
ENG000188,C000051,341,Mary Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000189,C000051,341,Mary Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000190,C000051,341,Mary Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000191,C000051,341,Mary Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000192,C000052,2484,Sarah Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000193,C000052,2484,Sarah Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000194,C000052,2484,Sarah Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000195,C000052,2484,Sarah Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000196,C000053,9883,Michelle Waters,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000197,C000053,9883,Michelle Waters,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000198,C000053,9883,Michelle Waters,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000199,C000053,9883,Michelle Waters,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000200,C000054,9494,Robert Gilmore,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000201,C000054,9494,Robert Gilmore,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000202,C000054,9494,Robert Gilmore,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000203,C000054,9494,Robert Gilmore,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000204,C000055,5283,Jacob Guerrero,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000205,C000055,5283,Jacob Guerrero,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000206,C000055,5283,Jacob Guerrero,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000207,C000055,5283,Jacob Guerrero,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000208,C000056,1695,Amanda Marquez,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000209,C000056,1695,Amanda Marquez,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000210,C000056,1695,Amanda Marquez,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000211,C000056,1695,Amanda Marquez,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000212,C000057,1920,Stephanie Archer,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000213,C000057,1920,Stephanie Archer,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000214,C000057,1920,Stephanie Archer,2026-05-08,promo_response,Reactivation,Email,18
ENG000215,C000058,11065,Aaron Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000216,C000058,11065,Aaron Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000217,C000058,11065,Aaron Smith,2026-05-08,promo_response,Reactivation,Email,18
ENG000218,C000059,9962,Diana Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000219,C000059,9962,Diana Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000220,C000059,9962,Diana Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000221,C000059,9962,Diana Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000222,C000060,5053,Mary Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000223,C000060,5053,Mary Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000224,C000060,5053,Mary Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000225,C000060,5053,Mary Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000226,C000061,773,Dylan Horton,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000227,C000061,773,Dylan Horton,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000228,C000061,773,Dylan Horton,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000229,C000061,773,Dylan Horton,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000230,C000062,11431,Willie Sanders,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000231,C000062,11431,Willie Sanders,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000232,C000062,11431,Willie Sanders,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000233,C000062,11431,Willie Sanders,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000234,C000063,7631,Alexander Nguyen,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000235,C000063,7631,Alexander Nguyen,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000236,C000063,7631,Alexander Nguyen,2026-05-08,promo_response,Reactivation,Email,18
ENG000237,C000064,898,Cheryl Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000238,C000064,898,Cheryl Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000239,C000064,898,Cheryl Smith,2026-05-08,promo_response,Reactivation,Email,18
ENG000240,C000065,11888,Frank Barrett,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000241,C000065,11888,Frank Barrett,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000242,C000065,11888,Frank Barrett,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000243,C000065,11888,Frank Barrett,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000244,C000066,450,Kathryn Carter,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000245,C000066,450,Kathryn Carter,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000246,C000066,450,Kathryn Carter,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000247,C000066,450,Kathryn Carter,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000248,C000067,9821,Deborah Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000249,C000067,9821,Deborah Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000250,C000067,9821,Deborah Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000251,C000067,9821,Deborah Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000252,C000068,5648,Joshua Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000253,C000068,5648,Joshua Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000254,C000068,5648,Joshua Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000255,C000068,5648,Joshua Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000256,C000069,1577,Mary Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000257,C000069,1577,Mary Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000258,C000069,1577,Mary Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000259,C000069,1577,Mary Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000260,C000070,10744,Samantha Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000261,C000070,10744,Samantha Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000262,C000070,10744,Samantha Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000263,C000070,10744,Samantha Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000264,C000071,5454,Mary Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000265,C000071,5454,Mary Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000266,C000071,5454,Mary Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000267,C000071,5454,Mary Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000268,C000072,6305,Mary Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000269,C000072,6305,Mary Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000270,C000072,6305,Mary Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000271,C000072,6305,Mary Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000272,C000073,2444,Kenneth Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000273,C000073,2444,Kenneth Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000274,C000073,2444,Kenneth Smith,2026-05-08,promo_response,Reactivation,Email,18
ENG000275,C000074,11048,Randy Ball,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000276,C000074,11048,Randy Ball,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000277,C000074,11048,Randy Ball,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000278,C000074,11048,Randy Ball,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000279,C000075,11768,Virginia Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000280,C000075,11768,Virginia Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000281,C000075,11768,Virginia Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000282,C000075,11768,Virginia Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000283,C000076,2970,Kenneth Smith,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000284,C000076,2970,Kenneth Smith,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000285,C000076,2970,Kenneth Smith,2026-05-08,account_page_view,Service Recovery,Portal,22
ENG000286,C000076,2970,Kenneth Smith,2026-05-09,unsubscribe_risk,Escalation Follow-up,Email,-10
ENG000287,C000077,2041,Paul Garcia,2026-05-06,campaign_open,Retention Pulse,Email,8
ENG000288,C000077,2041,Paul Garcia,2026-05-07,campaign_click,Retention Pulse,Email,12
ENG000289,C000077,2041,Paul Garcia,2026-05-08,account_page_view,Service Recovery,Portal,22
