adjustment_id,customer_id,source_customer_id,customer_full_name,ticket_id,adjustment_type,amount,reason,status,created_date
ADJ000028,C000675,1373,Mary Smith,T5051,Refund,53.89,Refund request,Approved,2026-05-06
ADJ000029,C000880,2600,Deborah Smith,T5052,Refund,51.25,Refund request,Approved,2026-05-06
ADJ000030,C001077,5660,Mary Maldonado,T5053,Refund,48.98,Refund request,Approved,2026-05-06
ADJ000031,C000562,2540,Patricia Smith,T5056,Credit,55.77,Cancellation request,Pending Approval,2026-05-06
ADJ000032,C000846,2609,Mary Smith,T5058,Credit,51.59,Refund request,Pending Approval,2026-05-06
ADJ000033,C001460,1961,Mary Holt,T5062,Credit,45.69,Product inquiry,Pending Approval,2026-05-06
ADJ000034,C001910,4107,Larry Franklin,T5063,Credit,42.74,Billing inquiry,Approved,2026-05-06
ADJ000035,C000389,9377,Carol Leach,T5064,Credit,58.99,Billing inquiry,Approved,2026-05-06
ADJ000036,C000692,972,Mary Smith,T5067,Credit,53.64,Billing inquiry,Approved,2026-05-06
ADJ000037,C000994,10778,Mary Mercado,T5069,Credit,49.90,Technical issue,Pending Approval,2026-05-06
ADJ000038,C001066,647,Mary Rios,T5070,Refund,49.04,Refund request,Approved,2026-05-06
ADJ000039,C001271,8167,Betty Roberts,T5072,Refund,47.22,Refund request,Approved,2026-05-06
ADJ000040,C001410,8038,Donald Smith,T5074,Credit,46.14,Cancellation request,Pending Approval,2026-05-06
ADJ000041,C001646,4040,Harold Hart,T5075,Credit,44.45,Billing inquiry,Pending Approval,2026-05-06
ADJ000042,C001693,4279,Jack Meyer,T5076,Credit,44.22,Product inquiry,Pending Approval,2026-05-06
ADJ000043,C001701,917,Andrew Glenn,T5077,Credit,44.19,Cancellation request,Pending Approval,2026-05-06
ADJ000044,C000099,2851,Mary Huffman,T5080,Credit,70.37,Technical issue,Pending Approval,2026-05-06
ADJ000045,C000687,3754,Mary Sims,T5081,Credit,53.69,Technical issue,Pending Approval,2026-05-06
ADJ000046,C001413,1175,Mary Gray,T5083,Refund,46.10,Refund request,Approved,2026-05-06
ADJ000047,C001495,9683,Mary Ray,T5084,Credit,45.45,Technical issue,Pending Approval,2026-05-06
ADJ000048,C001634,9972,William Serrano,T5086,Credit,44.50,Product inquiry,Approved,2026-05-06
ADJ000049,C001747,10018,Gregory Rodriguez,T5087,Credit,43.90,Technical issue,Pending Approval,2026-05-06
ADJ000050,C001963,10570,William Moore,T5088,Credit,42.49,Technical issue,Approved,2026-05-06
ADJ000051,C000162,3889,Mary Smith,T5089,Credit,66.70,Billing inquiry,Pending Approval,2026-05-06
ADJ000052,C000313,4454,Robert Smith,T5091,Refund,60.69,Refund request,Approved,2026-05-06
ADJ000053,C000540,4187,Jesse Mack,T5094,Refund,56.04,Refund request,Approved,2026-05-06
ADJ000054,C000772,40,Mary Smith,T5095,Credit,52.54,Product inquiry,Pending Approval,2026-05-06
ADJ000055,C001352,12061,Ruth Huffman,T5096,Credit,46.59,Product inquiry,Approved,2026-05-06
ADJ000056,C001537,4494,Mary Smith,T5097,Credit,45.15,Cancellation request,Approved,2026-05-06
ADJ000057,C001599,8853,Richard Ali,T5098,Credit,44.74,Product inquiry,Approved,2026-05-06
ADJ000058,C000114,3979,Mary Wagner,T5099,Credit,69.39,Billing inquiry,Approved,2026-05-06
ADJ000059,C000228,123,Mary Mann,T5101,Credit,63.89,Cancellation request,Approved,2026-05-06
ADJ000060,C000261,6643,Nicholas Smith,T5102,Credit,62.49,Billing inquiry,Pending Approval,2026-05-06
ADJ000061,C000730,11777,Melissa Marsh,T5103,Credit,53.09,Refund request,Pending Approval,2026-05-06
ADJ000062,C000822,3272,Julie Smith,T5104,Refund,51.89,Refund request,Approved,2026-05-06
ADJ000063,C000970,11262,Laura Lopez,T5105,Refund,50.11,Refund request,Approved,2026-05-06
ADJ000064,C001000,9191,Marie Smith,T5106,Credit,49.79,Product inquiry,Pending Approval,2026-05-06
ADJ000065,C001238,12322,Mary Cain,T5108,Credit,47.50,Technical issue,Approved,2026-05-06
ADJ000066,C001289,6179,Samuel Henderson,T5109,Credit,47.06,Technical issue,Pending Approval,2026-05-06
ADJ000067,C001489,1172,Marie Morales,T5110,Credit,45.49,Product inquiry,Approved,2026-05-06
ADJ000068,C001667,6584,Mary Smith,T5111,Credit,44.38,Cancellation request,Approved,2026-05-06
ADJ000069,C001775,9542,Mary Smith,T5112,Refund,43.69,Refund request,Approved,2026-05-06
ADJ000070,C001889,8180,Albert Smith,T5114,Credit,42.85,Cancellation request,Approved,2026-05-06
ADJ000071,C000125,3879,Melissa Davis,T5115,Credit,68.79,Cancellation request,Approved,2026-05-06
ADJ000072,C000354,10013,Jessica Smith,T5116,Credit,59.69,Technical issue,Pending Approval,2026-05-06
ADJ000073,C000570,6553,Larry House,T5117,Credit,55.59,Cancellation request,Approved,2026-05-06
ADJ000074,C000760,8420,Gregory Fitzpatrick,T5119,Refund,52.64,Refund request,Approved,2026-05-06
ADJ000075,C000938,5413,Mary Smith,T5122,Credit,50.56,Product inquiry,Pending Approval,2026-05-06
ADJ000076,C001058,7771,Janice Jackson,T5123,Refund,49.14,Refund request,Approved,2026-05-06
ADJ000077,C001254,846,Mary Powell,T5125,Credit,47.37,Technical issue,Approved,2026-05-06
ADJ000078,C001508,10807,Benjamin Wilson,T5126,Refund,45.36,Refund request,Approved,2026-05-06
ADJ000079,C001726,4536,Mary Griffin,T5128,Refund,44.06,Refund request,Approved,2026-05-06
ADJ000080,C000053,9883,Michelle Waters,T5132,Credit,74.99,Product inquiry,Pending Approval,2026-05-06
ADJ000081,C000204,10699,Mary Lee,T5134,Credit,64.74,Refund request,Pending Approval,2026-05-06
ADJ000082,C000292,10707,Mary Hansen,T5135,Credit,61.43,Cancellation request,Pending Approval,2026-05-06
ADJ000083,C000896,1688,Mary Blake,T5137,Credit,51.11,Cancellation request,Pending Approval,2026-05-06
ADJ000084,C000997,4698,Mary Collier,T5139,Credit,49.80,Product inquiry,Pending Approval,2026-05-06
ADJ000085,C001125,4815,Jerry Smith,T5141,Credit,48.55,Cancellation request,Pending Approval,2026-05-06
ADJ000086,C001253,4875,Edward Peters,T5142,Credit,47.37,Technical issue,Approved,2026-05-06
ADJ000087,C001296,11039,Mary Torres,T5143,Credit,46.98,Billing inquiry,Approved,2026-05-06
ADJ000088,C001411,11895,Timothy Walter,T5144,Credit,46.11,Cancellation request,Pending Approval,2026-05-06
ADJ000089,C001550,8381,Mary Anderson,T5145,Refund,45.01,Refund request,Approved,2026-05-06
ADJ000090,C001940,6767,Brenda Carey,T5149,Refund,42.56,Refund request,Approved,2026-05-06
ADJ000091,C002000,5781,Jack Stanley,T5150,Credit,42.30,Technical issue,Pending Approval,2026-05-06
ADJ000092,C000009,5654,Jerry Smith,T5151,Credit,89.05,Refund request,Pending Approval,2026-05-06
ADJ000093,C000017,4663,Paul Smith,T5152,Refund,82.80,Refund request,Approved,2026-05-06
ADJ000094,C001234,9823,Mary Camacho,T5160,Credit,47.52,Billing inquiry,Approved,2026-05-06
ADJ000095,C001264,3021,Nancy Alvarado,T5161,Refund,47.30,Refund request,Approved,2026-05-06
ADJ000096,C001353,5300,Joseph Smith,T5162,Refund,46.59,Refund request,Approved,2026-05-06
ADJ000097,C001422,642,Timothy Vasquez,T5163,Credit,46.00,Refund request,Pending Approval,2026-05-06
ADJ000098,C001972,11866,Mary Smith,T5167,Refund,42.40,Refund request,Approved,2026-05-06
ADJ000099,C000386,688,Kathy Gross,T5169,Credit,59.09,Billing inquiry,Approved,2026-05-06
ADJ000100,C000763,847,Jerry Ferguson,T5172,Refund,52.60,Refund request,Approved,2026-05-06
ADJ000101,C001309,11341,Mary Meyer,T5174,Refund,46.89,Refund request,Approved,2026-05-06
ADJ000102,C001312,7864,Alice Smith,T5175,Credit,46.85,Technical issue,Pending Approval,2026-05-06
ADJ000103,C000041,12285,Patrick Mcgee,T5178,Credit,76.59,Cancellation request,Approved,2026-05-06
ADJ000104,C000448,6789,Jessica Mcintosh,T5180,Credit,57.59,Billing inquiry,Pending Approval,2026-05-06
ADJ000105,C000468,2872,Mary Ortiz,T5181,Refund,57.29,Refund request,Approved,2026-05-06
ADJ000106,C000473,6125,Jeremy Pennington,T5182,Credit,57.20,Cancellation request,Pending Approval,2026-05-06
ADJ000107,C000478,5579,Mary Hurley,T5183,Credit,57.09,Product inquiry,Approved,2026-05-06
ADJ000108,C000680,2893,Russell Wyatt,T5185,Refund,53.84,Refund request,Approved,2026-05-06
ADJ000109,C001051,10170,Mary Tyler,T5189,Refund,49.24,Refund request,Approved,2026-05-06
ADJ000110,C001120,11407,Steven Powers,T5190,Credit,48.59,Technical issue,Pending Approval,2026-05-06
ADJ000111,C001149,956,Karen Smith,T5191,Credit,48.34,Refund request,Pending Approval,2026-05-06
ADJ000112,C001283,8260,Teresa Berg,T5194,Credit,47.09,Cancellation request,Pending Approval,2026-05-06
ADJ000113,C001483,12187,Mary Smith,T5196,Refund,45.50,Refund request,Approved,2026-05-06
ADJ000114,C001540,5859,Ronald Wilson,T5197,Refund,45.11,Refund request,Approved,2026-05-06
ADJ000115,C001650,5585,Mary Wilson,T5198,Refund,44.44,Refund request,Approved,2026-05-06
ADJ000116,C001699,4877,Mary Greene,T5199,Credit,44.20,Cancellation request,Pending Approval,2026-05-06
ADJ000117,C001703,9552,Richard Wilkerson,T5201,Credit,44.19,Product inquiry,Pending Approval,2026-05-06
ADJ000118,C001840,2857,Eric Smith,T5202,Refund,43.20,Refund request,Approved,2026-05-06
ADJ000119,C000035,6375,Mary Smith,T5205,Credit,77.40,Cancellation request,Approved,2026-05-06
ADJ000120,C000051,341,Mary Smith,T5206,Refund,75.16,Refund request,Approved,2026-05-06
ADJ000121,C000151,4491,Mary Banks,T5207,Credit,67.19,Billing inquiry,Approved,2026-05-06
ADJ000122,C000181,10111,Mary Garcia,T5208,Credit,65.85,Billing inquiry,Pending Approval,2026-05-06
ADJ000123,C000356,12329,Scott Norman,T5209,Refund,59.59,Refund request,Approved,2026-05-06
ADJ000124,C000637,8954,Mary Hayden,T5214,Credit,54.39,Billing inquiry,Approved,2026-05-06
ADJ000125,C000703,465,Shawn Smith,T5216,Credit,53.49,Billing inquiry,Pending Approval,2026-05-06
ADJ000126,C000712,5824,James Smith,T5217,Credit,53.34,Technical issue,Approved,2026-05-06
ADJ000127,C000736,3365,William Crawford,T5219,Credit,53.01,Billing inquiry,Pending Approval,2026-05-06
ADJ000128,C000778,12341,Roy Fields,T5220,Credit,52.42,Technical issue,Pending Approval,2026-05-06
ADJ000129,C000922,9589,Jacqueline Arroyo,T5222,Credit,50.78,Billing inquiry,Pending Approval,2026-05-06
ADJ000130,C000967,5727,Mary Smith,T5223,Credit,50.15,Cancellation request,Pending Approval,2026-05-06
ADJ000131,C000974,2250,Amanda Smith,T5224,Refund,50.09,Refund request,Approved,2026-05-06
ADJ000132,C001037,254,Diana Hale,T5225,Refund,49.39,Refund request,Approved,2026-05-06
ADJ000133,C001153,5564,Mary Smith,T5226,Credit,48.29,Technical issue,Approved,2026-05-06
ADJ000134,C001201,8529,Mary Watts,T5227,Credit,47.83,Billing inquiry,Approved,2026-05-06
ADJ000135,C001349,9302,Melissa Smith,T5230,Credit,46.60,Technical issue,Pending Approval,2026-05-06
ADJ000136,C001414,1735,Mary Gill,T5231,Refund,46.09,Refund request,Approved,2026-05-06
ADJ000137,C001534,2319,Mary Holland,T5232,Credit,45.18,Technical issue,Approved,2026-05-06
ADJ000138,C001642,11957,Mary Norman,T5233,Credit,44.49,Technical issue,Approved,2026-05-06
ADJ000139,C001656,6089,Laura Blair,T5234,Refund,44.41,Refund request,Approved,2026-05-06
ADJ000140,C001915,359,Mary Pena,T5235,Credit,42.70,Cancellation request,Pending Approval,2026-05-06
ADJ000141,C001965,3807,Mary Huang,T5236,Credit,42.45,Billing inquiry,Pending Approval,2026-05-06
ADJ000142,C000015,10351,Teresa Gray,T5237,Credit,83.39,Refund request,Pending Approval,2026-05-06
ADJ000143,C000036,4781,Janet Smith,T5238,Credit,77.19,Product inquiry,Approved,2026-05-06
ADJ000144,C000059,9962,Diana Smith,T5239,Credit,74.19,Refund request,Pending Approval,2026-05-06
ADJ000145,C000323,4980,Mary Wilson,T5243,Credit,60.38,Technical issue,Pending Approval,2026-05-06
ADJ000146,C000327,7190,Mary Mckinney,T5244,Credit,60.21,Technical issue,Pending Approval,2026-05-06
ADJ000147,C000927,2680,Jennifer Ferguson,T5249,Credit,50.70,Refund request,Pending Approval,2026-05-06
ADJ000148,C001065,5548,Michael Crawford,T5250,Refund,49.05,Refund request,Approved,2026-05-06
ADJ000149,C001119,6023,Shirley Webb,T5251,Credit,48.59,Technical issue,Pending Approval,2026-05-06
ADJ000150,C001157,436,Mary Smith,T5252,Credit,48.20,Technical issue,Pending Approval,2026-05-06
ADJ000151,C001226,12101,Samantha Smith,T5253,Credit,47.59,Cancellation request,Approved,2026-05-06
ADJ000152,C001310,8889,Evelyn Brown,T5254,Credit,46.87,Technical issue,Approved,2026-05-06
ADJ000153,C001402,6088,Mary Brooks,T5255,Refund,46.20,Refund request,Approved,2026-05-06
ADJ000154,C001451,6287,Mary Smith,T5256,Refund,45.77,Refund request,Approved,2026-05-06
ADJ000155,C001500,10062,Judith Smith,T5257,Credit,45.40,Cancellation request,Approved,2026-05-06
ADJ000156,C001618,285,Shirley Smith,T5258,Credit,44.60,Cancellation request,Approved,2026-05-06
ADJ000157,C001632,9575,John Richards,T5259,Credit,44.50,Product inquiry,Approved,2026-05-06
ADJ000158,C001671,12069,Brittany Gardner,T5261,Credit,44.36,Billing inquiry,Approved,2026-05-06
ADJ000159,C001707,10883,Catherine Zamora,T5262,Credit,44.17,Billing inquiry,Pending Approval,2026-05-06
ADJ000160,C001774,2174,Rachel Fuentes,T5265,Credit,43.69,Refund request,Pending Approval,2026-05-06
ADJ000161,C001966,7634,Pamela Ray,T5267,Credit,42.44,Technical issue,Approved,2026-05-06
ADJ000162,C000164,1025,Megan Todd,T5270,Refund,66.40,Refund request,Approved,2026-05-06
ADJ000163,C000263,6137,Eric Smith,T5271,Credit,62.45,Billing inquiry,Pending Approval,2026-05-06
ADJ000164,C000270,6474,Madison Smith,T5272,Credit,62.24,Refund request,Pending Approval,2026-05-06
ADJ000165,C000278,4599,Mary Smith,T5273,Credit,61.97,Technical issue,Pending Approval,2026-05-06
ADJ000166,C000287,1824,Julia Tucker,T5274,Credit,61.51,Technical issue,Approved,2026-05-06
ADJ000167,C000581,10071,Mary Lawrence,T5276,Refund,55.36,Refund request,Approved,2026-05-06
ADJ000168,C000893,5186,Jason Robinson,T5280,Credit,51.14,Billing inquiry,Approved,2026-05-06
ADJ000169,C001030,1990,Kathryn Smith,T5281,Credit,49.43,Product inquiry,Pending Approval,2026-05-06
ADJ000170,C001188,11116,Mary Wu,T5284,Credit,47.99,Technical issue,Pending Approval,2026-05-06
ADJ000171,C001404,3493,Joseph Simmons,T5287,Credit,46.19,Technical issue,Pending Approval,2026-05-06
ADJ000172,C001444,7234,Mary Bowers,T5289,Refund,45.85,Refund request,Approved,2026-05-06
ADJ000173,C001547,7333,Julia Smith,T5290,Credit,45.05,Refund request,Pending Approval,2026-05-06
ADJ000174,C001748,1385,Catherine Smith,T5292,Credit,43.89,Cancellation request,Approved,2026-05-06
ADJ000175,C001752,4456,Evelyn Spencer,T5293,Credit,43.85,Billing inquiry,Approved,2026-05-06
ADJ000176,C001764,5999,Randy Smith,T5294,Credit,43.79,Product inquiry,Pending Approval,2026-05-06
ADJ000177,C001833,1249,Donald Odom,T5295,Credit,43.29,Product inquiry,Pending Approval,2026-05-06
ADJ000178,C001847,3046,Mary Newman,T5296,Refund,43.19,Refund request,Approved,2026-05-06
ADJ000179,C001948,5637,Mary Wong,T5298,Credit,42.54,Cancellation request,Pending Approval,2026-05-06
ADJ000180,C000086,3938,Mary Smith,T5301,Credit,71.63,Cancellation request,Approved,2026-05-06
ADJ000181,C000383,5395,Mary Bell,T5306,Credit,59.19,Cancellation request,Pending Approval,2026-05-06
ADJ000182,C000429,10612,Anna Smith,T5307,Refund,58.04,Refund request,Approved,2026-05-06
ADJ000183,C000451,238,Charles Turner,T5308,Credit,57.56,Technical issue,Pending Approval,2026-05-06
ADJ000184,C000457,8666,Mary Smith,T5309,Credit,57.44,Product inquiry,Approved,2026-05-06
ADJ000185,C000587,7575,Mary Romero,T5310,Credit,55.24,Technical issue,Approved,2026-05-06
ADJ000186,C000590,10258,Joyce Gonzalez,T5311,Credit,55.20,Technical issue,Approved,2026-05-06
ADJ000187,C000655,7176,Mary Hudson,T5312,Credit,54.19,Refund request,Pending Approval,2026-05-06
ADJ000188,C000980,639,Elizabeth Pittman,T5315,Credit,50.05,Cancellation request,Approved,2026-05-06
ADJ000189,C001101,2157,Danielle Holt,T5316,Credit,48.74,Cancellation request,Pending Approval,2026-05-06
ADJ000190,C001227,1812,Mary Smith,T5317,Credit,47.59,Cancellation request,Approved,2026-05-06
ADJ000191,C001357,8768,Evelyn Bradford,T5320,Credit,46.55,Refund request,Pending Approval,2026-05-06
ADJ000192,C001369,10296,Mary Ramos,T5322,Credit,46.49,Billing inquiry,Approved,2026-05-06
ADJ000193,C001441,10165,Joan Buckley,T5323,Credit,45.89,Refund request,Pending Approval,2026-05-06
ADJ000194,C001496,11473,Mary Smith,T5324,Credit,45.43,Technical issue,Pending Approval,2026-05-06
ADJ000195,C001665,4795,Mary Smith,T5326,Refund,44.39,Refund request,Approved,2026-05-06
ADJ000196,C001694,6187,Mary Hess,T5327,Credit,44.22,Product inquiry,Pending Approval,2026-05-06
ADJ000197,C001722,9813,Mary Roth,T5328,Refund,44.08,Refund request,Approved,2026-05-06
ADJ000198,C001820,5719,Mary Smith,T5330,Refund,43.39,Refund request,Approved,2026-05-06
ADJ000199,C001882,5276,Mary Martin,T5331,Refund,42.90,Refund request,Approved,2026-05-06
ADJ000200,C000169,9073,Thomas Skinner,T5335,Credit,66.19,Product inquiry,Approved,2026-05-06
ADJ000201,C000387,8090,Mary Martinez,T5336,Credit,58.99,Cancellation request,Approved,2026-05-06
ADJ000202,C000405,3816,Dorothy Smith,T5337,Credit,58.49,Technical issue,Pending Approval,2026-05-06
ADJ000203,C000503,1802,Cynthia Smith,T5338,Credit,56.68,Technical issue,Approved,2026-05-06
ADJ000204,C000556,9636,Mary Cruz,T5339,Credit,55.84,Technical issue,Pending Approval,2026-05-06
ADJ000205,C000674,5936,Michael Davis,T5342,Credit,53.90,Cancellation request,Pending Approval,2026-05-06
ADJ000206,C001022,907,Samantha Kline,T5345,Credit,49.55,Technical issue,Approved,2026-05-06
ADJ000207,C001098,4707,Victoria Smith,T5346,Credit,48.77,Technical issue,Approved,2026-05-06
ADJ000208,C001506,8605,Johnny Morse,T5348,Refund,45.38,Refund request,Approved,2026-05-06
ADJ000209,C001705,10952,Mary Suarez,T5350,Credit,44.19,Billing inquiry,Pending Approval,2026-05-06
ADJ000210,C001723,10138,Louis Kennedy,T5351,Credit,44.08,Cancellation request,Pending Approval,2026-05-06
ADJ000211,C001878,1232,Betty Smith,T5353,Refund,42.90,Refund request,Approved,2026-05-06
ADJ000212,C001914,12115,Lawrence Smith,T5354,Credit,42.70,Cancellation request,Pending Approval,2026-05-06
ADJ000213,C001945,9338,James Davis,T5356,Credit,42.54,Billing inquiry,Approved,2026-05-06
ADJ000214,C000014,664,Bobby Jimenez,T5357,Credit,83.94,Technical issue,Approved,2026-05-06
ADJ000215,C000128,9743,David Smith,T5358,Credit,68.28,Refund request,Pending Approval,2026-05-06
ADJ000216,C000137,5168,Mary Smith,T5360,Credit,67.81,Billing inquiry,Pending Approval,2026-05-06
ADJ000217,C000348,1782,Robert Smith,T5364,Credit,59.79,Refund request,Pending Approval,2026-05-06
ADJ000218,C000364,10982,Joan Harris,T5365,Credit,59.46,Cancellation request,Approved,2026-05-06
ADJ000219,C000459,10653,Mary Smith,T5367,Credit,57.39,Cancellation request,Pending Approval,2026-05-06
ADJ000220,C000559,5190,Mary Smith,T5368,Credit,55.83,Billing inquiry,Pending Approval,2026-05-06
ADJ000221,C000677,4667,Cheryl Gonzalez,T5371,Refund,53.85,Refund request,Approved,2026-05-06
ADJ000222,C000847,4159,Mary Castillo,T5373,Refund,51.59,Refund request,Approved,2026-05-06
ADJ000223,C001329,6649,Mary Smith,T5374,Credit,46.70,Technical issue,Pending Approval,2026-05-06
ADJ000224,C001431,9195,George Johns,T5377,Refund,45.97,Refund request,Approved,2026-05-06
ADJ000225,C001498,2255,Cheryl Kline,T5379,Refund,45.40,Refund request,Approved,2026-05-06
ADJ000226,C001527,6417,Helen Gomez,T5380,Refund,45.20,Refund request,Approved,2026-05-06
ADJ000227,C001623,11491,David Smith,T5382,Credit,44.55,Product inquiry,Approved,2026-05-06
ADJ000228,C001624,1126,Mary Thompson,T5383,Credit,44.55,Billing inquiry,Pending Approval,2026-05-06
ADJ000229,C001652,4547,Mary Molina,T5384,Refund,44.44,Refund request,Approved,2026-05-06
ADJ000230,C001717,11836,Mary Clayton,T5385,Credit,44.10,Product inquiry,Pending Approval,2026-05-06
ADJ000231,C001869,4229,Barbara Smith,T5387,Credit,42.99,Cancellation request,Pending Approval,2026-05-06
ADJ000232,C001927,7687,Evelyn Valencia,T5388,Credit,42.62,Billing inquiry,Approved,2026-05-06
ADJ000233,C001936,6425,Ruth Smith,T5389,Refund,42.60,Refund request,Approved,2026-05-06
ADJ000234,C000025,12431,Mary Rios,T5391,Credit,80.73,Technical issue,Approved,2026-05-06
ADJ000235,C000047,5691,James Brown,T5392,Refund,76.09,Refund request,Approved,2026-05-06
ADJ000236,C000065,11888,Frank Barrett,T5393,Credit,73.44,Billing inquiry,Pending Approval,2026-05-06
ADJ000237,C000066,450,Kathryn Carter,T5394,Credit,73.31,Billing inquiry,Approved,2026-05-06
ADJ000238,C000097,11645,Mary Ward,T5395,Credit,70.62,Product inquiry,Pending Approval,2026-05-06
ADJ000239,C000117,6696,Mary Spencer,T5397,Refund,69.27,Refund request,Approved,2026-05-06
ADJ000240,C000212,4659,Paul Smith,T5398,Refund,64.59,Refund request,Approved,2026-05-06
ADJ000241,C000242,685,Crystal Smith,T5399,Credit,63.13,Billing inquiry,Pending Approval,2026-05-06
ADJ000242,C000298,9107,Mark Nunez,T5400,Credit,61.29,Product inquiry,Approved,2026-05-06
ADJ000243,C000776,8587,James Roy,T5405,Credit,52.46,Cancellation request,Pending Approval,2026-05-06
ADJ000244,C000788,3020,Mary Smith,T5407,Refund,52.35,Refund request,Approved,2026-05-06
ADJ000245,C000959,8948,Russell Smith,T5409,Credit,50.29,Product inquiry,Pending Approval,2026-05-06
ADJ000246,C001107,12382,Jennifer Smith,T5412,Refund,48.69,Refund request,Approved,2026-05-06
ADJ000247,C001111,5198,Mary Smith,T5413,Refund,48.65,Refund request,Approved,2026-05-06
ADJ000248,C001183,6025,Mary Smith,T5415,Credit,48.04,Technical issue,Pending Approval,2026-05-06
ADJ000249,C001260,9352,Mary Lewis,T5416,Credit,47.32,Refund request,Pending Approval,2026-05-06
ADJ000250,C001358,2325,Mary Johnson,T5418,Credit,46.55,Refund request,Pending Approval,2026-05-06
ADJ000251,C001467,6566,David Beck,T5420,Credit,45.62,Product inquiry,Pending Approval,2026-05-06
ADJ000252,C001571,2320,Katherine Smith,T5421,Credit,44.89,Billing inquiry,Pending Approval,2026-05-06
ADJ000253,C001712,7893,Lisa Smith,T5424,Credit,44.13,Product inquiry,Approved,2026-05-06
ADJ000254,C001800,6585,Andrew Turner,T5425,Credit,43.54,Product inquiry,Approved,2026-05-06
ADJ000255,C001826,4477,Jonathan Smith,T5427,Credit,43.37,Billing inquiry,Approved,2026-05-06
ADJ000256,C000121,3554,Michael Smith,T5429,Refund,68.92,Refund request,Approved,2026-05-06
ADJ000257,C000136,8170,Rachel Smith,T5430,Refund,67.83,Refund request,Approved,2026-05-06
ADJ000258,C000520,6514,Crystal Contreras,T5436,Credit,56.36,Billing inquiry,Pending Approval,2026-05-06
ADJ000259,C000533,4943,Paul Sosa,T5438,Credit,56.19,Cancellation request,Pending Approval,2026-05-06
ADJ000260,C000998,8790,Mary Keller,T5443,Refund,49.80,Refund request,Approved,2026-05-06
ADJ000261,C001004,1494,Rebecca Ortiz,T5444,Refund,49.72,Refund request,Approved,2026-05-06
ADJ000262,C001042,5878,Sharon Smith,T5448,Credit,49.30,Billing inquiry,Approved,2026-05-06
ADJ000263,C001168,11512,Mary Randall,T5450,Credit,48.10,Refund request,Pending Approval,2026-05-06
ADJ000264,C001288,927,Diana Smith,T5451,Credit,47.07,Refund request,Pending Approval,2026-05-06
ADJ000265,C001417,10951,Austin Weiss,T5453,Credit,46.04,Billing inquiry,Pending Approval,2026-05-06
ADJ000266,C001522,11504,Mary Smith,T5454,Credit,45.25,Billing inquiry,Approved,2026-05-06
